NUM_ZONA,COD_MUNICIPIO_SEDE
143,24490
92,24198
21,24210
100,24910
30,24279
18,26271
45,23337
83,25216
75,25437
99,24538
98,23779
44,25615
34,25895
43,23833
15,23574
81,25518
37,24996
91,25097
135,24074
106,23817
105,23817
2,25313
89,25950
138,26298
73,23310
46,26239
70,25194
59,23930
109,25496
101,24570
117,24910
136,25453
41,23817
54,23515
6,25313
48,23159
74,25690
108,23353
50,25917
36,26050
19,24031
28,25356
102,26271
52,25593
31,23175
24,24775
23,24899
7,25313
9,25313
79,24058
69,24856
42,23272
107,23035
76,25798
119,26310
33,23434
85,24350
128,24317
14,24872
137,23183
12,25135
80,23396
94,24759
4,25313
149,25313
63,24392
57,23230
118,24570
120,26190
86,23051
131,24511
61,23418
146,25135
145,25216
144,25216
150,25313
3,25313
5,25313
77,23590
66,23019
51,25992
125,23914
130,23752
84,23213
47,25291
88,24619
67,24112
60,23558
55,25178
25,24236
8,25313
38,23078
71,25771
68,25712
127,26298
78,25070
116,25631
20,23795
112,26077
35,23370
82,24970
147,24570
11,24570
121,23574
56,24198
10,24910
26,25372
132,23698
16,24430
114,25135
64,23094
72,24139
27,25976
17,25119
1,25313
62,25810
39,23450
13,25739
90,24791
58,25151
133,26115
65,24015
